@timestamp,_id,_ignored,_index,_score,action,action.keyword,datetime,datetime.keyword,dstport,dstport.keyword,interface,interface.keyword,interface_out,interface_out.keyword,ipdst,ipdst.keyword,ipsrc,ipsrc.keyword,policyid,policyid.keyword,proto,proto.keyword,srcport,srcport.keyword
"Mar 2, 2026 @ 20:45:01.000",pvsVsJwBE1GwGFY2I6Ai,-,firewall-logs,-,DENY,DENY,3/2/2026 19:45,3/2/2026 19:45,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:45:00.000",pfsVsJwBE1GwGFY2H6Ah,-,firewall-logs,-,DENY,DENY,3/2/2026 19:45,3/2/2026 19:45,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:59.000",pPsVsJwBE1GwGFY2G6Ah,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:58.000",o_sVsJwBE1GwGFY2F6Ai,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:57.000",ovsVsJwBE1GwGFY2E6Ah,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:56.000",ofsVsJwBE1GwGFY2D6Am,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:55.000",kvsVsJwBE1GwGFY2C6Al,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,36334,36334,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,514,514
"Mar 2, 2026 @ 20:44:55.000",k_sVsJwBE1GwGFY2C6Au,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,113,113,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",lPsVsJwBE1GwGFY2C6A4,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,993,993,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",lfsVsJwBE1GwGFY2C6BC,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,8080,8080,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,10,10,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",lvsVsJwBE1GwGFY2C6BL,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,8080,8080,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",l_sVsJwBE1GwGFY2C6BT,-,firewall-logs,-,DENY,DENY,3/2/2026 19:44,3/2/2026 19:44,199,199,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,34,34,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",mPsVsJwBE1GwGFY2C6Ba,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,3389,3389,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,11,11,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",mfsVsJwBE1GwGFY2C6Bi,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,443,443,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,7,7,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",mvsVsJwBE1GwGFY2C6Bq,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,110,110,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,9,9,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",m_sVsJwBE1GwGFY2C6Bx,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,3306,3306,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,5,5,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",nPsVsJwBE1GwGFY2C6B5,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,445,445,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,8,8,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",nfsVsJwBE1GwGFY2C6CB,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,23,23,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,2,2,TCP,TCP,51581,51581
"Mar 2, 2026 @ 20:44:55.000",nvsVsJwBE1GwGFY2C6CL,-,firewall-logs,-,PERMIT,PERMIT,3/2/2026 19:44,3/2/2026 19:44,80,80,eth0,eth0,(empty),(empty),172.17.0.3,172.17.0.3,172.17.0.2,172.17.0.2,4,4,TCP,TCP,51581,51581
